Competitor Provider,Competitor Segment Name,Competitor Segment ID,Proposed New Segment Name,Non Derived Segments utilized,Composition Similarity,Closest Cybba Segment,Closest Cybba Similarity,Taxonomy
Bridge,**AlarisB2B > B2B > Decision Makers > Information Technology / IT Decision Makers,1012602101,Cybba > B2B Audience > Lifestyle > Information Technology / It Decision Makers,94042741:85078981 | Cybba > B2B Audience > Employment Industry > Technology Computing > 1,0.5107,Cybba > B2B Audience > Industry > SaaS Technology Decision Makers,0.8196,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Law Enforcement and Security Decision Makers,1012602091,Cybba > B2B Audience > Lifestyle > Law Enforcement And Security Decision Makers,80163281:75064251 | Cybba > Behavioral Audience > Network Security Hardware & Software > 0,0.3422,Cybba > Cybba > B2B Audience > Role > Security Operations Buyers,0.6375,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Manufacturing Decision Makers,1012602081,Cybba > B2B Audience > Lifestyle > Manufacturing Decision Makers,80753721:78630151 | Cybba > Behavioral Audience > Cutlery and Handtool Manufacturing > 1; 75301391:69593271 | Cybba > BEHAVIORAL AUDIENCE > MEDICAL GOODS AND SERVICES > PHARMACEUTICAL AND MEDICINE MANUFACTURING > 0,0.3622,Cybba > B2B Audience > Industry > Manufacturing Leaders,0.8244,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Medical & Healthcare Decision Makers,1012602071,Cybba > B2B Audience > Lifestyle > Medical & Healthcare Decision Makers,76570411:72196711 | Cybba > B2B Audience > Employment Industry > Medical Health > 1,0.6348,Cybba > B2B Audience > Employment Industry > Medical Health,0.8205,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Operations Decision Makers,1012602061,Cybba > B2B Audience > Lifestyle > Operations Decision Makers,76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1; 76570561:72197001 | Cybba > B2B Audience > Employment Industry > Travel > 0,0.4633,Cybba > Cybba > B2B Audience > Industry > Higher-Ed IT Decision Makers,0.6422,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Quality Control Decision Makers,1012602051,Cybba > B2B Audience > Lifestyle > Quality Control Decision Makers,75301041:69592641 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > 1; 113273151:4936151 | Cybba > Cybba > B2B Audience > Role > Finance Executives > 1,0.4489,Cybba > B2B Audience > Industry > Nonprofit Leaders,0.4532,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Decision Makers > Sales & Marketing Decision Makers,1012602041,Cybba > B2B Audience > Lifestyle > Sales & Marketing Decision Makers,75301051:69592651 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > ADVERTISING AND MARKETING > 0; 80206191:75106861 | Cybba > Event Audience > Theatre Show > Z-BIB CC SALES > 0,0.4156,Cybba > B2B Audience > Role > Marketing Decision Makers,0.5337,B2B Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Employee Size > I: Small Office Home Office Employee Size (SOHO),1012601931,Cybba > Behavioral Audience > Lifestyle > Small Office Home Office Employee Size (Soho) Enthusiasts,94043141:85079781 | Cybba > Behavioral Audience > Retail > Consumer Stationery and Office Supplies > 1; 80204781:75104291 | Cybba > Event Audience > Theatre Show > HOME FREE > 1,0.3699,Cybba > Purchase Audience > Retail > Office Supply Shoppers,0.5626,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > C-Suite/C-Level,1012601921,Cybba > Behavioral Audience > Lifestyle > C-Suite/C-Level Enthusiasts,94042751:85078991 | Cybba > B2B Audience > Seniority > C Suite > 0; 80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1,0.4159,Cybba > B2B Audience > Seniority > C-Suite,0.51,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Construction,1012601911,Cybba > Behavioral Audience > Lifestyle > Construction Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.4682,Cybba > B2B Audience > Industry > Nonprofit Leaders,0.1323,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Consultants,1012601901,Cybba > Behavioral Audience > Lifestyle > Consultants Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.4682,Cybba > B2B Audience > Industry > Nonprofit Leaders,0.1323,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Education,1012601891,Cybba > Behavioral Audience > Lifestyle > Education Enthusiasts,102122501:91175751 | Cybba > Cybba > Education Audience > No Known Education Deterministic > 1; 76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1,0.5064,Cybba > Education Audience > Educators > Education Nonprofit Workers,0.7385,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Engineering/Technical,1012601881,Cybba > Behavioral Audience > Lifestyle > Engineering/Technical Enthusiasts,75301061:69600501 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > MANAGEMENT. SCIENTIFIC AND TECHNICAL CONSULTING SERVICES > 1; 80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0,0.3556,"Cybba > Purchase Audience > B2B Consulting > Management, Scientific and Technical Consulting Services",0.4378,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Engineering/Technical > Engineering/Technical Management,1012601871,Cybba > Behavioral Audience > Lifestyle > Engineering/Technical Management Enthusiasts,75301061:69600501 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > MANAGEMENT. SCIENTIFIC AND TECHNICAL CONSULTING SERVICES > 1; 80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0,0.4431,"Cybba > Purchase Audience > B2B Consulting > Management, Scientific and Technical Consulting Services",0.4846,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Engineering/Technical > Engineering/Technical Staff,1012601861,Cybba > Behavioral Audience > Lifestyle > Engineering/Technical Staff Enthusiasts,79900871:74869681 | Cybba > B2B Audience > Seniority > Staff > 0; 80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1,0.4314,Cybba > B2B Audience > Seniority > Staff/Individual Contributor,0.4236,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Engineering/Technical > Production,1012601851,Cybba > Behavioral Audience > Lifestyle > Engineering/Technical Production Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 94042791:85079081 | Cybba > Behavioral Audience > B2B Consulting > Management  Scientific and Technical Consulting Services > 1,0.4049,"Cybba > Purchase Audience > B2B Consulting > Management, Scientific and Technical Consulting Services",0.3561,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Engineering/Technical > Software Developer,1012601841,Cybba > Behavioral Audience > Lifestyle > Engineering/Technical Software Developer Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 75301071:69592691 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > SOFTWARE PUBLISHERS > 1,0.4343,Cybba > Behavioral Audience > B2B Consulting > Software Publishers,0.5131,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Finance & Accounting,1012601831,Cybba > Behavioral Audience > Lifestyle > Finance & Accounting Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1,0.3769,Cybba > B2B Audience > Role > Finance Executives,0.3025,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Finance & Accounting > Accounting,1012601821,Cybba > Behavioral Audience > Lifestyle > Finance & Accounting Accounting Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 80163231:75064201 | Cybba > Behavioral Audience > Accounting. Tax Preparation. Bookkeeping. and Payroll Services > 0,0.3481,"Cybba > Purchase Audience > Finance, Insurance and Banking > Accounting, Tax Preparation, Bookkeeping, and Payroll Services - Deterministic",0.2577,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Finance & Accounting > Accounting > Accounting Management,1012601811,Cybba > Behavioral Audience > Lifestyle > Accounting Management Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 80163231:75064201 | Cybba > Behavioral Audience > Accounting. Tax Preparation. Bookkeeping. and Payroll Services > 0,0.3106,"Cybba > Purchase Audience > Finance, Insurance and Banking > Accounting, Tax Preparation, Bookkeeping, and Payroll Services - Deterministic",0.3127,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Finance & Accounting > Accounting > Comptroller / Controller,1012601801,Cybba > Behavioral Audience > Lifestyle > Accounting Comptroller / Controller Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 80163231:75064201 | Cybba > Behavioral Audience > Accounting. Tax Preparation. Bookkeeping. and Payroll Services > 0,0.3687,"Cybba > Purchase Audience > Finance, Insurance and Banking > Accounting, Tax Preparation, Bookkeeping, and Payroll Services - Deterministic",0.2231,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Finance & Accounting > Finance,1012601791,Cybba > Behavioral Audience > Lifestyle > Finance & Accounting Finance Enthusiasts,116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1; 111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.4116,Cybba > B2B Audience > Role > Finance Executives,0.3727,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Finance & Accounting > Finance > CFO (Chief Financial Officer),1012601781,Cybba > Behavioral Audience > Lifestyle > Finance Cfo (Chief Financial Officer) Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1,0.4199,Cybba > B2B Audience > Role > Finance Executives,0.4756,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Finance & Accounting > Finance > Finance Management,1012601771,Cybba > Behavioral Audience > Lifestyle > Finance Management Enthusiasts,116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1; 80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0,0.4045,Cybba > B2B Audience > Role > Finance Executives,0.3662,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Finance & Accounting > Finance > Finance Staff,1012601761,Cybba > Behavioral Audience > Lifestyle > Finance Staff Enthusiasts,79900871:74869691 | Cybba > B2B Audience > Seniority > Staff > 1; 116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1,0.4373,Cybba > B2B Audience > Seniority > Staff/Individual Contributor,0.3914,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Finance & Accounting > Finance > Treasurer,1012601751,Cybba > Behavioral Audience > Lifestyle > Finance Treasurer Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1,0.4515,Cybba > B2B Audience > Role > Finance Executives,0.3623,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Government,1012601741,Cybba > Behavioral Audience > Lifestyle > Government Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.4682,Cybba > B2B Audience > Industry > Nonprofit Leaders,0.1323,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Human Resources / HR,1012601731,Cybba > Behavioral Audience > Lifestyle > Human Resources / Hr Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.4682,Cybba > B2B Audience > Industry > Nonprofit Leaders,0.1323,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Human Resources / HR > Human Resources Management,1012601721,Cybba > Behavioral Audience > Lifestyle > Human Resources / Hr Human Resources Management Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 94042791:85079081 | Cybba > Behavioral Audience > B2B Consulting > Management  Scientific and Technical Consulting Services > 1,0.4019,Cybba > B2B Audience > Seniority > Manager,0.465,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Human Resources / HR > Human Resources Staff,1012601711,Cybba > Behavioral Audience > Lifestyle > Human Resources / Hr Human Resources Staff Enthusiasts,79900871:74869691 | Cybba > B2B Audience > Seniority > Staff > 1; 111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.5138,Cybba > B2B Audience > Seniority > Staff/Individual Contributor,0.5044,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Human Resources / HR > Recruiter,1012601701,Cybba > Behavioral Audience > Lifestyle > Human Resources / Hr Recruiter Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.4682,Cybba > B2B Audience > Industry > Nonprofit Leaders,0.1323,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Information Technology / IT,1012601691,Cybba > Behavioral Audience > Lifestyle > Information Technology / It Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 94042741:85078981 | Cybba > B2B Audience > Employment Industry > Technology Computing > 1,0.4582,Cybba > B2B Audience > Industry > SaaS Technology Decision Makers,0.6001,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Information Technology / IT > Databases & Data Processing,1012601681,Cybba > Behavioral Audience > Lifestyle > Information Technology / It Databases & Data Processing Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 94042781:85079061 | Cybba > Behavioral Audience > B2B Consulting > Data Processing  Hosting  and Related Services > 1,0.4727,"Cybba > Behavioral Audience > B2B Consulting > Data Processing, Hosting, and Related Services",0.3858,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Information Technology / IT > Information Technology / IT Management,1012601671,Cybba > Behavioral Audience > Lifestyle > Information Technology / It Management Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 94042741:85078971 | Cybba > B2B Audience > Employment Industry > Technology Computing > 0,0.3809,Cybba > B2B Audience > Industry > SaaS Technology Decision Makers,0.4988,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Information Technology / IT > Information Technology / IT Staff,1012601661,Cybba > Behavioral Audience > Lifestyle > Information Technology / It Staff Enthusiasts,79900871:74869691 | Cybba > B2B Audience > Seniority > Staff > 1; 80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1,0.4254,Cybba > B2B Audience > Industry > SaaS Technology Decision Makers,0.4806,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Information Technology / IT > Network Engineering & Administration,1012601651,Cybba > Behavioral Audience > Lifestyle > Information Technology / It Network Engineering & Administration Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 116626071:5039331 | Cybba > Cybba > Behavioral Audience > Tech > Home Network Tuners > 1,0.4197,Cybba > B2B Audience > Industry > SaaS Technology Decision Makers,0.3716,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Information Technology / IT > Software Engineering & Systems Development,1012601641,Cybba > Behavioral Audience > Lifestyle > Information Technology / It Software Engineering & Systems Development Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 75301071:69592681 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > SOFTWARE PUBLISHERS > 0,0.4321,Cybba > B2B Audience > Industry > SaaS Technology Decision Makers,0.5543,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Information Technology / IT > Web Development,1012601631,Cybba > Behavioral Audience > Lifestyle > Information Technology / It Web Development Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 94042741:85078971 | Cybba > B2B Audience > Employment Industry > Technology Computing > 0,0.3499,Cybba > B2B Audience > Industry > SaaS Technology Decision Makers,0.3123,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Legal,1012601621,Cybba > Behavioral Audience > Lifestyle > Legal Enthusiasts,75316321:69600661 | Cybba > Behavioral Audience > Legal Services > Legal Services > 0; 80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0,0.5247,Cybba > Purchase Audience > Legal Services > Legal Services,0.584,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Manufacturing,1012601611,Cybba > Behavioral Audience > Lifestyle > Manufacturing Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 80753721:75488371 | Cybba > Behavioral Audience > Cutlery and Handtool Manufacturing > 0,0.4085,Cybba > B2B Audience > Industry > Manufacturing Leaders,0.5219,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Manufacturing > Manufacturing Management,1012601601,Cybba > Behavioral Audience > Lifestyle > Manufacturing Management Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 94042791:85079081 | Cybba > Behavioral Audience > B2B Consulting > Management  Scientific and Technical Consulting Services > 1,0.3448,Cybba > B2B Audience > Industry > Manufacturing Leaders,0.4228,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Manufacturing > Operations,1012601591,Cybba > Behavioral Audience > Lifestyle > Manufacturing Operations Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.4332,Cybba > B2B Audience > Industry > Manufacturing Leaders,0.3474,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Manufacturing > Production,1012601581,Cybba > Behavioral Audience > Lifestyle > Manufacturing Production Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.4332,Cybba > B2B Audience > Industry > Manufacturing Leaders,0.3474,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Manufacturing > Quality Control,1012601571,Cybba > Behavioral Audience > Lifestyle > Manufacturing Quality Control Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,0.4332,Cybba > B2B Audience > Industry > Manufacturing Leaders,0.3474,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Manufacturing > Research & Development,1012601561,Cybba > Behavioral Audience > Lifestyle > Manufacturing Research & Development Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 116622011:5039151 | Cybba > Cybba > Behavioral Audience > Auto > Accessory Research Drivers > 1,0.4142,Cybba > Wealth Audience > Investors > Active Stock Traders,0.2693,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Manufacturing > Supply Chain,1012601551,Cybba > Behavioral Audience > Lifestyle > Manufacturing Supply Chain Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 94042941:85079381 | Cybba > Behavioral Audience > Outdoor Supplies > Retail Nurseries  Lawn and Garden Supply Stores > 1,0.3573,Cybba > B2B Audience > Industry > Manufacturing Leaders,0.5354,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Marketing,1012601541,Cybba > Behavioral Audience > Lifestyle > Marketing Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 75301051:69592661 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > ADVERTISING AND MARKETING > 1,0.4646,Cybba > B2B Audience > Role > Marketing Decision Makers,0.5304,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Marketing > Advertising,1012601531,Cybba > Behavioral Audience > Lifestyle > Marketing Advertising Enthusiasts,75301051:69592661 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > ADVERTISING AND MARKETING > 1; 80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1,0.5958,Cybba > Purchase Audience > B2B Consulting > Advertising and Marketing,0.7517,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Marketing > Marketing Management,1012601511,Cybba > Behavioral Audience > Lifestyle > Marketing Management Enthusiasts,75301051:69592661 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > ADVERTISING AND MARKETING > 1; 80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0,0.3915,Cybba > B2B Audience > Role > Marketing Decision Makers,0.5394,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Medical,1012601501,Cybba > Behavioral Audience > Lifestyle > Medical Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 75301381:69593261 | Cybba > BEHAVIORAL AUDIENCE > MEDICAL GOODS AND SERVICES > MEDICAL EQUIPMENT AND SUPPLIES MANUFACTURING > 1,0.4658,Cybba > Behavioral Audience > Medical goods and services > Medical Equipment and Supplies Manufacturing,0.4173,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Medical > Dentist,1012601491,Cybba > Behavioral Audience > Lifestyle > Medical Dentist Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1,0.4361,Cybba > Behavioral Audience > Medical goods and services > Medical Equipment and Supplies Manufacturing,0.2482,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Medical > Doctors and Physicians,1012601481,Cybba > Behavioral Audience > Lifestyle > Medical Doctors And Physicians Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 101890071:91073761 | Cybba > Cybba > Healthcare Professionals Audience > Physicians & Surgeons (General) > Deterministic > 0,0.378,Cybba > Healthcare Audience > Physicians & Surgeons (General) - Deterministic,0.3229,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Medical > Nurses,1012601471,Cybba > Behavioral Audience > Lifestyle > Medical Nurses Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 101890081:91073781 | Cybba > Cybba > Healthcare Professionals Audience > Nurses > Deterministic > 0,0.4243,Cybba > Healthcare Audience > Nurses - Deterministic,0.4466,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Medical > Pharmacists,1012601461,Cybba > Behavioral Audience > Lifestyle > Medical Pharmacists Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 101890111:91073841 | Cybba > Cybba > Healthcare Professionals Audience > Pharmacists > Deterministic > 0,0.4243,Cybba > Healthcare Audience > Pharmacists - Deterministic,0.5184,Behavioral Audience > Lifestyle
Bridge,**AlarisB2B > B2B > Functional Area > Middle Management,1012601451,Cybba > Behavioral Audience > Lifestyle > Middle Management Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 102122441:91175651 | Cybba > Cybba > Education Audience > Middle School Level Deterministic > 1,0.3358,Cybba > B2B Audience > Seniority > Manager,0.3782,Behavioral Audience > Lifestyle
