New Segment Name,Non Derived Segments utilized,Segment Description,Digital Ad Targeting Price (CPM),Content Marketing Price (CPM),TV Targeting Price (CPM),Cost Per Click,Programmatic % of Media,CPM Cap,Advertiser Direct % of Media
Cybba > Behavioral Audience > Lifestyle > Senior Leadership President Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Coo (Chief Operations Officer) Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Operations Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Treasurer Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Founder Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Partner Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Construction Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Human Resources / Hr Recruiter Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Human Resources / Hr Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Government Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Consultants Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Amazon Enthusiasts,80204621:85082351 | Cybba > Event Audience > Theatre Show > FUNIKIJAM AMAZON > 1; 94042741:85078981 | Cybba > B2B Audience > Employment Industry > Technology Computing > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Medical Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 75301381:69593261 | Cybba > BEHAVIORAL AUDIENCE > MEDICAL GOODS AND SERVICES > MEDICAL EQUIPMENT AND SUPPLIES MANUFACTURING > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Marketing Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 75301051:69592661 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > ADVERTISING AND MARKETING > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Human Resource / Hr Decision Makers,76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1; 76570561:72197001 | Cybba > B2B Audience > Employment Industry > Travel > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Operations Decision Makers,76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1; 76570561:72197001 | Cybba > B2B Audience > Employment Industry > Travel > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Life Science Enthusiasts,76570501:72196891 | Cybba > B2B Audience > Employment Industry > Science > 1; 80205121:75104931 | Cybba > Event Audience > Theatre Show > LIFE OF PI > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Cmo (Chief Marketing Officer) Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 75301051:69592661 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > ADVERTISING AND MARKETING > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Vice President (Vp) Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 94042761:85079011 | Cybba > B2B Audience > Seniority > VP Executive > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Pharmaceutical Enthusiasts,75301391:69593271 | Cybba > BEHAVIORAL AUDIENCE > MEDICAL GOODS AND SERVICES > PHARMACEUTICAL AND MEDICINE MANUFACTURING > 0; 80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Ceo (Chief Executive Officer) Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 94042761:85079011 | Cybba > B2B Audience > Seniority > VP Executive > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Ecommerce Companies Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 76570511:72196901 | Cybba > B2B Audience > Employment Industry > Shopping > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Information Technology / It Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 94042741:85078981 | Cybba > B2B Audience > Employment Industry > Technology Computing > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Senior Leadership Cto (Chief Technology Officer) Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 94042741:85078981 | Cybba > B2B Audience > Employment Industry > Technology Computing > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Director Finance Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Finance Treasurer Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Communications And Pr Decision Makers,75301041:69592641 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > 1; 113273151:4936151 | Cybba > Cybba > B2B Audience > Role > Finance Executives > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > B2B Audience > Lifestyle > Quality Control Decision Makers,75301041:69592641 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > 1; 113273151:4936151 | Cybba > Cybba > B2B Audience > Role > Finance Executives > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Autodesk Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 76570541:72196961 | Cybba > B2B Audience > Employment Industry > Technology & Computing > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Intercom Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 76570541:72196961 | Cybba > B2B Audience > Employment Industry > Technology & Computing > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Applied Predictive Technologies Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 76570541:72196961 | Cybba > B2B Audience > Employment Industry > Technology & Computing > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Acronis Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 76570541:72196961 | Cybba > B2B Audience > Employment Industry > Technology & Computing > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Engineering/Technical Management Enthusiasts,75301061:69600501 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > MANAGEMENT. SCIENTIFIC AND TECHNICAL CONSULTING SERVICES > 1; 80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Director It (Information Technology) Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 79900851:74869641 | Cybba > B2B Audience > Seniority > Director > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Zendesk Enthusiasts,116621991:5039141 | Cybba > Cybba > Behavioral Audience > Auto > Service Schedule Followers > 1; 76570311:72196511 | Cybba > B2B Audience > Employment Industry > Business and Finance > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Finance Staff Enthusiasts,79900871:74869691 | Cybba > B2B Audience > Seniority > Staff > 1; 116632211:5039801 | Cybba > Cybba > Behavioral Audience > Finance > Rewards Maximizers > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Hr Companies Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 94042791:85079071 | Cybba > Behavioral Audience > B2B Consulting > Management  Scientific and Technical Consulting Services > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Fti Consulting Enthusiasts,76570311:72196501 | Cybba > B2B Audience > Employment Industry > Business and Finance > 0; 75301061:69600501 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > MANAGEMENT. SCIENTIFIC AND TECHNICAL CONSULTING SERVICES > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Medical Dentist Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Wholesale Trade Industry Enthusiasts,116624131:5039301 | Cybba > Cybba > Behavioral Audience > Tech > Device Trade-In Researchers > 1; 76570331:72196551 | Cybba > B2B Audience > Employment Industry > Education > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Education Companies Enthusiasts,75301151:69592841 | Cybba > BEHAVIORAL AUDIENCE > COLLEGE AND EDUCATION > COLLEGES. UNIVERSITIES. AND PROFESSIONAL SCHOOLS > 1; 80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Health Companies Enthusiasts,76570411:72196711 | Cybba > B2B Audience > Employment Industry > Medical Health > 1; 75301311:69593131 | Cybba > BEHAVIORAL AUDIENCE > FOOD AND HEALTH > HEALTH AND PERSONAL CARE STORES > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Engineering/Technical Software Developer Enthusiasts,80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1; 75301071:69592691 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > SOFTWARE PUBLISHERS > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Business Service Providers Enthusiasts,76570311:72196511 | Cybba > B2B Audience > Employment Industry > Business and Finance > 1; 116621991:5039141 | Cybba > Cybba > Behavioral Audience > Auto > Service Schedule Followers > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Manufacturing Operations Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Manufacturing Production Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Manufacturing Quality Control Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Information Technology / It Software Engineering & Systems Development Enthusiasts,80203981:75102801 | Cybba > Event Audience > Theatre Show > Area Setup > 0; 75301071:69592681 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > SOFTWARE PUBLISHERS > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Engineering/Technical Staff Enthusiasts,79900871:74869681 | Cybba > B2B Audience > Seniority > Staff > 0; 80203981:84980751 | Cybba > Event Audience > Theatre Show > Area Setup > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Media & Advertising Companies Enthusiasts,75301051:69592661 | Cybba > BEHAVIORAL AUDIENCE > B2B CONSULTING > ADVERTISING AND MARKETING > 1; 116495811:5036191 | Cybba > Cybba > Behavioral Audience > Media > Sports Highlight Watchers > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Electronics Enthusiasts,75301191:69592921 | Cybba > BEHAVIORAL AUDIENCE > CONSUMER ELECTRONICS > ELECTRONICS AND APPLIANCE STORES > 1; 80204251:75103321 | Cybba > Event Audience > Theatre Show > COMPANY > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Jewelry Enthusiasts,94043061:85079621 | Cybba > Behavioral Audience > Retail > Consumer Jewelry Stores > 1; 80204251:75103321 | Cybba > Event Audience > Theatre Show > COMPANY > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Environmental Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 77012791:73567731 | Cybba > B2B Audience > Employment Industry > Business and Industries > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Renewable Energy Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 77012791:73567731 | Cybba > B2B Audience > Employment Industry > Business and Industries > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Defense Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 77012791:73567731 | Cybba > B2B Audience > Employment Industry > Business and Industries > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Aerospace Enthusiasts,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 77012791:73567731 | Cybba > B2B Audience > Employment Industry > Business and Industries > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Construction Enthusiasts - 376Ce26B,80204251:75103311 | Cybba > Event Audience > Theatre Show > COMPANY > 0; 77012791:73567731 | Cybba > B2B Audience > Employment Industry > Business and Industries > 0,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
Cybba > Behavioral Audience > Lifestyle > Middle Management Facilities Managers Enthusiasts,111638121:4881641 | Cybba >  Event Audience > Theatre Show > Area Setup > 1; 113353251:4937631 | Cybba > Cybba > B2B Audience > Role > Operations Managers > 1,,10.0,0.0,0.0,0.0,0.0,10.0,0.0
